@relation corpus_final

@attribute corpus string
@attribute TLD {China,Germany,India,Japan,Pakistan}

@data
' A man checks flight information on an electric board at Shanghai Pudong International Airport yesterday. The heavy downpour led to the cancellation of about 200 flights.  CNS photo  ',China
' About 200 flights were cancelled and 300 more delayed at Hongqiao and Pudong airports due to heavy downpour which also caused massive traffic jams in the city. ',China
' The Shanghai Meteorological Bureau issued a yellow alert for rainstorm    the third highest of four levels    and a yellow alert for thunder at 9am yesterday. The alerts were in place untill 7pm last night. To make it worse the bureau said the plum rains will stay for few days more. ',China
' The strong and unending rainstorm in East China affected flights to Shanghai Beijing and Guangzhou the Shanghai Airport Authority said yesterday. ',China
' China Eastern and Shanghai Airlines canceled over 100 flights while many other flights were delayed for a long period of time. Shanghai based Juneyao and Spring Airlines also canceled flights. ',China
' Most of the affected flights were scheduled to take off in the afternoon when visibility was poor. Hongqiao airport was hit the hardest at 4pm when it was covered with low clouds. ',China
' Hongqiao was forced to cancel 130 flights while 180 others were delayed. With the weather unlikely to change more delays and cancellations are expected today as well. ',China
' There were reports of traffic snarls across the city. ',China
' Yu Hualei a white collar worker said her car was hit at the Luochuan Road entrance of the North South Elevated Road in yesterday s deluge. She had driven for just 20 minutes when another car tried to overtake her and hit her damaging her bumper and right lights. ',China
' My mood was ruined by the accident and the unending rain the whole day she said. ',China
' He Yi a reporter said he spent double the time on the Yan an Elevated Road in the morning. ',China
' I got stuck in the gridlock at the exit of the Hongxu Road. I had to be very careful as the downpour make it difficult to see the roads clearly he said. ',China
' The weather bureau said Qingpu District received the maximum rainfall recording 29mm between 8am and 5pm yesterday followed by the Pudong New Area which saw 25.5mm of rainfall. ',China
' The benchmark Xujiahui station had recorded 19.7mm. ',China
' As the rain belt lingers at the middle and lower reaches of the Yangtze River more torrential rain is expected today said Zhu Jiehua chief service officer at the bureau. The temperature will range between 23 and 21 degrees Celsius. ',China
' With the rain belt moving south the downpour is expected to weaken tomorrow with dry days on the cards for Friday and Saturday. ',China
' Society ',China
' Shanghai records coldest July day for 112 years ',China
' 1 ',China
' 2015 07 07 09 00Shanghai Daily Editor  Wang Fan ',China
' Yesterday was Shanghai s coldest July day for 112 years with the mercury topping out at just 21.2 degrees Celsius at the benchmark Xujiahui weather station according to the city s metrological bureau. ',China
' In 1903 the coldest July day came in at a decidedly chilly 20.9 degrees it said. ',China
' The recent heavy rains and a cold air mass are to blame for the dip in temperatures which in the 10 days through Sunday were about 3 degrees lower than normal. ',China
' While the temperature at Xujiahui was 21.2 degrees yesterday in the Pudong New Area the mercury fell to an almost frosty 18.2 forecasters said. ',China
' Today will remain chilly with a high of 22 degrees while tomorrow and Thursday should be much warmer at 26 and 29 degrees respectively. ',China
' Heavier rains are also expected today due to the combined influence of the plum rain belt and Typhoon Linfa the bureau said. ',China
' Linfa was centered more than 1300 kilometers south of Shanghai yesterday afternoon but was steadily moving northeast and is expected to have some impact today and tomorrow. Thursday should be drier but a second tropical cyclone    Typhoon Chan Hom    will bring more wet weather on Friday. ',China
' In the first 28 days of June the total rainfall at the Xujiahui weather station was 339.8 millimeters or more than twice the seasonal average the bureau said. ',China
' The wet weather has also resulted in a 20 percent increase in the number of mosquito eggs at designated monitoring spots local health officials said yesterday. ',China
' Although there are more eggs the cool temperatures should inhibit their growth said Lei Qing from the office of Shanghai Patriotic Health Campaign which manages insect control in the city. ',China
' Mosquitoes need both water and temperatures above 25 degrees Celsius he said adding that officials are trying to keep the numbers of insects to a minimum to ensure there is not an outbreak of dengue fever as was seen in Guangdong Province last year. ',China
' So far this year the only cases of the fever have come from outside the city so we will continue to do all we can to prevent an outbreak he said. ',China
' Society ',China
' Shanghai records lowest average temperature in 142 years ',China
' Shanghai recorded its lowest temperature in 145 years on Monday with the mercury dipping to 17.3 degree Celsius close to the historic maximum temperature of 15.9 degree Celsius on July 2 1876 according to wenhui.news365.com.cn. ',China
' The day s high was 21.2 degree Celsius paralleling with that on July 6 1903 and the average temperature was 18.9 degree Celsius making it the lowest average temperature in July in 142 years since 1873. ',China
' Meteorologist Zhang Ruiyi said the record low temperature is a result of days of rains under cold air mass as the city is in the middle of the monsoon season. ',China
' The weather is expected to get cooler as three typhoons are approaching coastal China which may bring gales and rainstorms to an already flooded coastal parts of China. ',China
' The National Meteorological Center  NMC  predicted that among the three typhoons Chan hom Linfa and Nangka that had formed on the northwest Pacific Chan hom and Linfa will affect China in the coming days. ',China
' The NMC said the center of Linfa the 10th typhoon this year was located 335 kilometers southwest of Taiwan s Eluanbi at 5 pm Monday and is moving toward the island at 10 kilometers per hour. ',China
' It was downgraded to tropical storm level on Monday afternoon packing winds of 23 meters per second near its center. ',China
' Chan hom the ninth typhoon this year was located about 1950 kilometers southeast of the Diaoyu Islands at 5 pm the NMC said. It is strengthening while barreling northwest toward the Chinese mainland and is expected to lash country s eastern coast on Friday. ',China
' The gold that lies beneath your feet ',China
' Millions have walked on the floors of Chinese palaces possibly ignoring the valuable tiles that they are stepping on and their history. ',China
' Gold bricks exclusively used in imperial palaces are displayed at the Suzhou Museum of Imperial Kiln Bricks. ',China
' On the floors of Chinese palaces tiles that have been trodden on by millions are called jinzhuan literally gold bricks.  They re not gold but clay. However the cost is astronomical   around one tael of silver in ancient China and 26000 yuan  US 4050  for just one piece today. ',China
' These hidden gems can be found in the halls on the central axis of the Forbidden City such as Hall of Supreme Harmony Hall of Central Harmony and Hall of Preserving Harmony which are known as the Three Great Halls of the Outer Court.  Used exclusively to build imperial palaces these bricks were transported to Beijing from Suzhou and thus called jingzhuan. Jing is the abbreviation for Beijing. ',China
' It finally evolved to gold bricks mainly because of its high cost and metallic sound. ',China
' First appearing during the reign of Emperor Yongle in the Ming Dynasty  1368 1644  the gold bricks were so treasured that only emperors were privileged to use them to decorate palaces  says Sun Jian deputy director of the department of cultural and creative development at Suzhou Lumu Imperial Kiln Gold Bricks Factory. ',China
' People should not belittle jinzhuan. Just imagine how many famous historical figures once kneeled on them. From clay to something exclusively used by emperors jinzhuan embody the wisdom of the ancients and are witnesses to history  says Shen Quannan assistant curator at Suzhou Museum of Imperial Kiln Bricks. ',China
' Ti Gong ',China
' The Suzhou Museum of Imperial Kiln Bricks ',China
' Designed by architect Liu Jiakun the museum has over 1400 ancient gold bricks and houses several sites of ancient imperial kilns. ',China
' Knocking on the bricks produces a metallic sound one of the characteristics of jinzhuan along with their pure cyan color and high quality. There are mainly three sizes of the square bricks   54.4cm 64cm and 70.4cm. ',China
' Though the bricks are just tiles the beauty of them lies within. If you look at the cross section the structure is so solid and fine that pores can hardly be seen  says Jin Jin a state level inheritor of making jinzhuan and owner of the factory. The manufacturing process is extremely time consuming. Only by enduring loneliness can a craftsman make a perfect gold brick.  ',China
' Making one piece of jinzhuan can take two to three years and involves a total of 29 procedures. ',China
' The first step is carefully selecting the soil which is the sole material of making gold bricks. Only that in Xiangcheng District of Suzhou can be used to make the smooth and shiny bricks because the soil there is iron rich. ',China
' Nowadays the earth is mainly purchased from construction sites in the area. The soil resource that the factory has collected is enough to maintain the production of jinzhuan for further 20 to 30 years  Sun says. ',China
' However the resource will finally be used up one day. Anticipating the potential problem the Palace Museum in Beijing has required bricks from Jin s factory be stored for future use. ',China
' Making gold bricks is closely related to the solar terms. In ancient China people dug the earth in winter which was the slack season. The first 13 steps need to be finished before the coming of plum rain season  explains Sun. ',China
' Ti Gong ',China
' A craftsman prepares the clay to make gold bricks. ',China
' Zhu Ying   SHINE ',China
' A worker feeds chaff into the kiln where gold bricks are being fired. ',China
' The next stage involves 10 procedures including making a wooden mold. ',China
' The clay becomes harder after being kept in a shady place for five to eight months. During the time it should be flipped over every day and the information such as the time the size the supervisor and the name of the kiln need to be engraved on a side of a brick. ',China
' Firing is the most significant phase of the whole process starting in autumn and lasting for 130 days. The base will be fumigated with rice chaff for a month burnt with firewood for another month straw for the third month and pine wood for 40 days. ',China
' There is a strict rule when arranging the bricks in the kiln. The layout of bricks should look like the Chinese character ren     or human. Piling one above another there are seven layers of bricks in total. Not only gold bricks but also normal bricks are fired in the kiln together as those near the fire and on the bottom are easily charred  says Sun. ',China
' The last step is pouring water from the top of the kiln. Due to the high temperature the water is soon vaporized. The bricks turn into a unique blue gray hue after cooling. ',China
' Unfortunately a majority of gold bricks have to be abandoned because they are not perfect   either having cracks or broken corners or the sound they make when knocked is not clear and metallic. ',China
' Ti Gong ',China
' The layout of bricks should look like the Chinese character ren     or human. ',China
' Around 700 800 gold bricks are fired in a kiln. However the production yield is only 25 percent  says Sun. ',China
' The traditional method of making gold bricks once disappeared but was revived by Jin and her colleagues. From 2008 they kept trying before the technique was finally approved by the Palace Museum in 2015 after researchers compared ancient gold bricks with those produced at Jin s factory in hardness density water absorption and other physical properties. ',China
' I was a Chinese teacher before being an inheritor of this skill. In 2006 when my father  also an inheritor  asked me whether I wanted to take over his job I refused as I knew it would be very hard dirty and tiring especially for girls. Two years later he asked me again and I agreed because if I didn t do so the skill would have been lost  says Jin. ',China
' Unlike other artifacts gold bricks can t be made by one person but rather a group of people due to the tedious manufacturing process. Jin says the inheritance of the skill shall focus on teamwork. ',China
' Instead of being used as floor tiles gold bricks nowadays become a decoration or a board where people can play chess and practice calligraphy. ',China
' Suzhou Museum of Imperial Kiln Bricks ',China
' Opening hours  9am 5pm Address  95 Yangchenghu Rd W. Xiangcheng District Suzhou Tickets  Free ',China
' SHINE ',China
' Information about the time the size the supervisor and the name of the kiln needed to be engraved on a side of a gold brick. ',China
' A private company has come up with proposals to rebuild Beijing s famous Yuanmingyuan Park in Zhejiang Province. ',China
' The Hengdian Group best known for managing a large film and television complex in the east China province made the announcement yesterday. ',China
' Yuanmingyuan the old Summer Palace was a Qing Dynasty Imperial Park in the northwest of Beijing. Construction began in 1709 and continued for 150 years under five emperors. But it was burnt to the ground in 1860 by French and British troops. ',China
' Hengdian will rebuild Yuanmingyuan near Dongyang in the center of the province. A spokesman for the group surnamed Shi said it would be built to scale and cover an area of 350 hectares. Shi said the proposal had gained support from government as it would bring new impetus to the local economy and in particular the tourist industry. ',China
' The company will invest 20 billion yuan  US 2.47 billion  over five years. The park will be located in a remote place in the countryside with hills rivers and farmland which corresponds to the original environment of the real Yuanmingyuan Shi said. It ll be a multi functional theme park. ',China
' The developers says the park would serve as an educational base for patriotism. If visitors compare the magnificent park with the ruins of the Yuanmingyuan in Beijing they ll keep in mind the sufferings of our nation in modern history Shi said. ',China
' The park will also be used as a movie and television set. Hengdian already has a development with an imitation of the Forbidden City in Beijing a Qin Dynasty  221 206BC  palace and a prosperous Song Dynasty  960 1279  downtown street. These attracted 3.2 million visitors last year. ',China
' However this latest project has aroused controversy. Ruan Yisan a history professor at Tongji University in Shanghai said he couldn t see any point in rebuilding the Yuanmingyuan as it had been destroyed. ',China
' The remaining ruins are a witness of history and serve as a good reminder of what happened Ruan said. Therefore any attempt to rebuild the garden will only be an awkward imitation. Moreover the real Yuanmingyuan was not built in just five or 10 years. Ruan suggested the group could use the money to preserve sites that are in urgent need of protection. ',China
' According to Xinhua News Agency China has 2500 theme parks with an investment of 150 billion yuan  US 18.5 billion  but only 10 percent of them make money. ',China
' Lotus and water lilies are a breed apart in Xinbang ',China
' Tian Lizhi developed a great passion for lotus and gradually learnt agricultural expertise from theory to practice. ',China
' Tian Lizhi has introduced and developed almost 1000 lotus and water lily breeds in Shanghai s Xinbang Town. ',China
' Waves of jade green lotus leaves rest on the water and beautiful flowers emerge from beneath the gleaming surface. Wild birds hover over the water at dusk while sparrows swoop and chirp in the twilight. And on the nearby country road flocks of quacking ducks waddle among chickens. ',China
' Just an hour s drive from the city center is Xinbang Lotus Garden an idyllic pond sitting quietly in Songjiang District in southwest Shanghai an oasis of calm away from the busy city life. ',China
' Tian Lizhi however is too busy to enjoy the countryside tranquility. Tanned and sweaty the lotus grower 45 makes dozens of patrols to check lotus growth and shuttles back and forth between the pond the greenhouse and his office. ',China
' Summer is the busiest season for me  he says with a big smile. But looking on the bright side I only need to work half of a year. Isn t it great   ',China
' Influenced by his uncle a lotus expert working in the United States Tian developed a great passion for the plant and gradually learnt agricultural expertise from theory to practice. ',China
' In 2015 Tian was invited to develop new breeds for the annual Songjiang Lotus Festival in Xinbang Town. Laid out like a giant lotus leaf the town has earned its reputation as the home of the lotus  for more than 1500 years. ',China
' When I first came here there was only one breed  Tian says. ',China
' Over the past four years he has introduced and developed more than 800 new breeds and more than 150 water lilies making the town the biggest lotus breeding center in east China with a water area of more than 4 square kilometers. ',China
' From the most common Zilian breed that bears seeds to the precious Zhizun Qianban which can have more than 1200 petals on one single flower and Hongchun shaped like a red lip in full blossom Tian has cultivated a lotus kingdom in Songjiang. ',China
' Ti Gong ',China
' The breed Zhizun Qianban ',China
' A lotus blooms in the early morning and slowly closes its petals in the afternoon as the sun reaches its zenith. ',China
' A new bud appears after the old one has bloomed for about 10 days and then withers. The blossom period can last at least two months. ',China
' If grown properly lotuses can flower from the end of May till mid September. Water lilies can bloom even longer from April to end of the year. ',China
' A lotus is usually judged by its color shape of the flowers leaves and the blossom duration   the longer the better which is what the grower is striving for over the years. ',China
' Shuangran Honglou is Tian s latest achievement a flaming red lotus that can bloom till November. It s been registered officially as a new nelumbo breed in the International Water Lily and Water Gardening Society. The breed is a hybrid of a lotus from tropical Thailand and a local Chinese one. ',China
' It s like a child whose genes are decided by the parents   one for the blossom period and the other for the appearance  Tian says. ',China
' It is a long strict process to be approved as a new breed which requires three to five years of observation to ensure a stable shape and properties before being sent to the Society for another one year s monitoring. ',China
' Tian fosters a variety of new breeds every year but only three or four of them can qualify. ',China
' Most were abandoned halfway because they did not look good  he says. ',China
' Ti Gong ',China
' The breed Storm ',China
' A loving heart and great patience might be the best nutrition for lotus. The flowers are just like his children. He is the nanny and doctor  he feeds and treats them. ',China
' But they are good kids not that finicky  Tian jokes. ',China
' To grow lotuses sounds easy   water mud ventilation and five hour sun exposure every day might do. In addition they aren t affected by rains or storms. ',China
' Just remember lotuses can t bloom if they always stay in the shade  he says. ',China
' Each part of a lotus is treasured. Petals can be boiled to make tea  leaves are a traditional Chinese medicine believed to dispel inner heat  lotus seeds are a household summer snack  and its root can be cooked for fine dining and ground for starch. ',China
' Wine cosmetics and body care with lotus ingredients are also being developed. ',China
' With the exchanges with experts from Chenshan Botanical Garden Tian s lotus horizon is broadened once again. ',China
' I come in touch with new planting techniques of anion genetic modification and radiation which I never heard of before  he says. ',China
' Tian has planted lotus in the Qingxi Countryside Park in Qingpu District Wuzhen watertown in Zhejiang Province Xinzha Lotus Park in Jiangsu Province and the Old Summer Palace in Beijing. ',China
' Ti Gong ',China
' The breed Golden Monkey ',China
' The industry seems promising but Tian has his concerns for future. ',China
' All of my workers are seasonal and old people hired from the nearby villages  he says. Young people are reluctant to labor in the fields which might sound not as decent as an office job.  ',China
' Tian s biggest dream is to open a lotus museum in Shanghai to showcase the world s 2000 lotus breeds he has collected over the years from all over the world. ',China
' Two thousand ponds   each about 10 square meters   for 2000 breeds designed into a giant maze with three entrances and exits  Tian says. ',China
' Sun shines on Shanghai s holiday visitors ',China
' City records almost 9 million visits by tourists during the Qingming Festival holiday with the average occupancy of hotels up 33 percent compared with the same period last year. ',China
' Visitors take a stroll beside carpets of colorful spring flowers at Shanghai Gongqing Forest Park. ',China
' Ti Gong ',China
' An underwater experience at Shanghai Haichang Ocean Park. ',China
' Ti Gong ',China
' A grand day out for these visitors enjoying nature at Shanghai Botanical Garden. ',China
' Pleasant weather the waning COVID 19 situation and flower shows brought out the crowds during the three day Qingming Festival holiday. ',China
' The city recorded almost 9 million visits by tourists during the holiday generating a revenue of 4.1 billion yuan  US 624 million . The average occupancy rate of hotels in the city was 52.8 percent up 33 percent from the same period last year according to the Shanghai Administration of Culture and Tourism. ',China
' With the pandemic under control residents and tourists were enthusiastic about spring tours and flower appreciation was their top option the administration said. ',China
' The city s countryside parks were crowded with some suburban attractions such as Zhujiajiao watertown particularly busy the administration said. ',China
' Ti Gong ',China
' Performers in traditional Chinese costume at Shanghai Happy Valley. ',China
' Ti Gong ',China
' Visitors watch a performance at Shanghai Haichang Ocean Park. ',China
' Shanghai s 170 major tourist attractions recorded 3.97 million visits in total surging 132 percent from the same period last year. ',China
' Shanghai Wild Animal Park had 89000 visits Zhujiajiao ancient town 77800 Chenshan Botanical Garden 111400 and Shanghai Haichang Ocean Park 91000. ',China
' Shanghai Science and Technology Museum welcomed 45000 visitors and there were 234000 at the Shanghai International Resort where the Disneyland is located. ',China
' The Bund Yuyuan Garden and Lujiazui scenic areas recorded 489200 249500 and 360100 visits growing 95.83 percent 618.88 percent and 70.12 percent from last year respectively. ',China
' The city s riverfront areas of the Huangpu River spanning five districts received a combined 1.55 million visits during the holiday and 27900 people enjoyed Huangpu River cruise tours. ',China
' Forty three art galleries in the city hosted 82 exhibitions during the holiday attracting 50000 visits a 571 percent surge from the same period in 2020. ',China
' Ti Gong ',China
' Visitors enjoy the spring sunshine at Shanghai Gongqing Forest Park. ',China
' Ti Gong ',China
' Police officers guide traffic outside Shanghai Haichang Ocean Park. ',China
' Parks across Shanghai had 2.355 million visits in total during the holiday up 25.96 percent from the same period last year according to the Shanghai Greenery and Public Sanitation Bureau. ',China
' Countryside parks had 242400 visits soaring 85 percent from 2020. ',China
' The travel peak was on Sunday hitting 939000. ',China
' Shanghai Botanical Garden had 173420 visits and Gongqing Forest Park received more than 110000. ',China
' There s nothing more pleasant than a picnic in a park under the sunny and balmy weather although it was difficult to secure a place due to big crowds  said city resident Zhang Yong who visited the Gongqing Forest Park during the holiday with his former classmates. ',China
' There are people everywhere but still it is good to embrace nature he said. ',China
' Zhang said he mostly stayed at home during the Spring Festival holiday due to the pandemic. ',China
' There are queues everywhere no matter where you go even at the toilets said Cui Hong another Shanghai resident who visited Shanghai Happy Valley. ',China
' Cui said she and her boyfriend needed to pay a second visit to experience more of its amusement attractions. ',China
' Ti Gong ',China
' Shanghai Happy Valley hosts a traditional Chinese costume parade during the holiday. ',China
' Ti Gong ',China
' Tents galore as the pleasant spring weather brings the crowds to Shanghai Gongqing Forest Park. ',China
' Ti Gong ',China
' A visitor takes photographs of the flowers at Shanghai Botanical Garden. ',China
' Shanghai based online travel operator Trip.com said there had been a strong rebound in the domestic tourism market and the number of its air ticket orders saw double digit growth from that of 2019. ',China
' Shanghai Beijing Beijing Chengdu and Guangzhou Shanghai were some of the most popular routes during the holiday. ',China
' The number of hotel bookings also increased more than 20 percent from 2019 with five star hotel bookings seeing a 35 percent increase and the number of tickets ordered for tourist attractions surged 232 percent from 2019 the website said. ',China
' Shanghai Disney Resort Henan Museum Shanghai Haichang Ocean Park the Palace Museum and Longmen Grottoes were among the most popular destinations in China it said. ',China
' Vehicle rental services and private tour groups were more popular due to the pandemic it said. ',China
' Alibaba s travel site Fliggy said the number of orders of countryside minsu  B Bs  during the holiday surged over 16 times compared with the same period last year the growth rate surpassing normal hotels. ',China
' Minsu at Mogan Mountain Qiandao Lake Wuzhen watertown and Gulangyu scenic areas were particularly favored. ',China
' Red tourism and flower appreciation tours were popular options and 38 percent of those booking holiday itineraries on the site were born after 1995. ',China
' Bookings for red tourism destinations such as Zunyi Yan an Nanchang Jiaxing and Jinggang Mountain surged over 180 percent from the same period last year. ',China
' City Breaks ',China
' Shanghai  s countryside parks offer something for everyone ',China
' 1 ',China
' 2017 03 29 09 26Shanghai Daily Editor  Huang Mingrui ECNS App Download ',China
' Changxing Island Countryside Park ',China
' Countryside parks with vast wetlands farmlands forests and lakes are casting a new light on Shanghai s image as a concrete jungle and provide ideal venues for leisure and relaxation. ',China
' According to local greenery authorities another three countryside parks will soon be opened in Songjiang Minhang and Jiading districts. ',China
' As the Qingming Festival holiday approaches follow Shanghai Daily as we explore the city s ecological treasures. ',China
' Qingxi Countryside Park ',China
' The park in Qingpu District was built on a natural wetland. After it was opened to the public in September 2016 it soon became a popular vacation destination. ',China
' Blanca Chen a visitor to the park described it as one of the most beautiful places I ve ever visited. ',China
' According to Chen inside the park flying birds reed marshes clear creeks and a cedar forest create a serene and picturesque scene. ',China
' It s a good place for taking pictures said Chen. I don t know which scene struck me the most. In the morning when the first rays of sunshine pierced through the cedar trees on the water or in the afternoon when all kinds of birds were flapping around. ',China
' How to get there  ',China
'   By car    From downtown drive along Huqingping Highway and then turn to Jinshang Highway and Shangcai Road. ',China
'   By public transportation    From People s Square you can take Huzhu Express Line to Zhujiajiao Bus Station and transfer to Qingceng Line to Liansheng. ',China
' Langxia Countryside Park ',China
' Located in Jinshan District this park is more like an enclosed village. The villagers were not relocated when the park was built but still live in their old homes and work on their farmlands. ',China
' The roads and visitor service facilities were rebuilt and upgraded when the park opened to the public in October 2015. The good road conditions have made the park a popular venue for jogging. ',China
' Tall and straight cedar trees are planted along the pavement. Through the trees the vast farmlands take on different colors in different seasons. ',China
' It is the countryside in my memory commented visitor Zhang Yanshi. I walked over 10 kilometers there and the fresh air restored me. ',China
' The restaurant there provided the freshest vegetables meat and eggs and the taste was amazing she added. ',China
' In the park there is also a stud farm. People can book a villa nearby and spend a weekend on horseback. Rental information can be found on popular online booking platforms like Airbnb. ',China
' How to get there  ',China
'   By public transportation    At Lianhua Road Station of Metro Line 1 look for the Lianhua Langxia Line. Take the bus to Langxia Agritourism Station or Langxia Nongjiale Station. ',China
'   By car    Take the G1501 Highway and exit at Luxiang. Then drive along Zhulu Highway Jinlang Highway and turn onto Caolang Highway and you ll find the service center of the park. ',China
' Changxing Island Countryside Park ',China
' The park on Chongming Island opened its first phase last fall. It covers around 5.5 square kilometers 1.5 times larger than the Dongping National Forest Park also on the island. This park is so large that it s easy to feel alone and surrounded by serenity even with thousands of other visitors. ',China
' The park has a wide range of flower species. An edible breed of roses named crimson glory are in full bloom between April and October while cherries yellow peaches grapes pears and figs can also be seen throughout the year. ',China
' Society ',China
' 40 degree temperatures more rain and 3 typhoons are forecast ',China
' 1 ',China
' 2017 05 23 09 58Shanghai Daily Editor  Huang Mingrui ECNS App Download ',China
' Three typhoons are expected in Shanghai this summer as part of an intense rainy season officials said yesterday. They added that there will be more hot days this summer too. ',China
' The city will endure 22 to 28 days with temperatures exceeding 35 degrees Celsius compared to an average of 15 days last summer. The extreme high temperature will reach as high as 40 degrees the Shanghai Meteorological Bureau said. ',China
' The three typhoons are expected to be stronger than those of previous years the city s typhoon and flooding prevention authority said. ',China
